NC_000913.3 	CDS 	1 	+ 	336 	2799 	
NC_000913.3 	CDS 	1 	+ 	438423 	438753 	
NC_000913.3 	CDS 	1 	+ 	451308 	451614 	
NC_000913.3 	CDS 	1 	+ 	452655 	453093 	
NC_000913.3 	CDS 	1 	+ 	453543 	454143 	
NC_000913.3 	CDS 	1 	+ 	457425 	458700 	
NC_000913.3 	CDS 	1 	+ 	468957 	470643 	
NC_000913.3 	CDS 	1 	+ 	472965 	474252 	
NC_000913.3 	CDS 	1 	+ 	474576 	475071 	
NC_000913.3 	CDS 	1 	+ 	476274 	476613 	
NC_000913.3 	CDS 	1 	+ 	485760 	486408 	
NC_000913.3 	CDS 	1 	+ 	490881 	491259 	
NC_000913.3 	CDS 	1 	+ 	496998 	497367 	
NC_000913.3 	CDS 	1 	+ 	498054 	499017 	
NC_000913.3 	CDS 	1 	+ 	500124 	501429 	
NC_000913.3 	CDS 	1 	+ 	501489 	501894 	
NC_000913.3 	CDS 	1 	+ 	510126 	510525 	
NC_000913.3 	CDS 	1 	+ 	512619 	512943 	
NC_000913.3 	CDS 	1 	+ 	516555 	517362 	
NC_000913.3 	CDS 	1 	+ 	519732 	520419 	
NC_000913.3 	CDS 	1 	+ 	523260 	527541 	
NC_000913.3 	CDS 	1 	+ 	527580 	527949 	
NC_000913.3 	CDS 	1 	+ 	533010 	533826 	
NC_000913.3 	CDS 	1 	+ 	540564 	541866 	
NC_000913.3 	CDS 	1 	+ 	541887 	543033 	
NC_000913.3 	CDS 	1 	+ 	545718 	546129 	
NC_000913.3 	CDS 	1 	+ 	549810 	550122 	
NC_000913.3 	CDS 	1 	+ 	551808 	552171 	
NC_000913.3 	CDS 	1 	+ 	554610 	555996 	
NC_000913.3 	CDS 	1 	+ 	562341 	563319 	
NC_000913.3 	CDS 	1 	+ 	566022 	566532 	
NC_000913.3 	CDS 	1 	+ 	568314 	568647 	
NC_000913.3 	CDS 	1 	+ 	578265 	578568 	
NC_000913.3 	CDS 	1 	+ 	580833 	581379 	
NC_000913.3 	CDS 	1 	+ 	583680 	584430 	
NC_000913.3 	CDS 	1 	+ 	595599 	596973 	
NC_000913.3 	CDS 	1 	+ 	598713 	601857 	
NC_000913.3 	CDS 	1 	+ 	604845 	605328 	
NC_000913.3 	CDS 	1 	+ 	608064 	609177 	
NC_000913.3 	CDS 	1 	+ 	617283 	617829 	
NC_000913.3 	CDS 	1 	+ 	619665 	620043 	
NC_000913.3 	CDS 	1 	+ 	620379 	620853 	
NC_000913.3 	CDS 	1 	+ 	622299 	623550 	
NC_000913.3 	CDS 	1 	+ 	627693 	628551 	
NC_000913.3 	CDS 	1 	+ 	633054 	633429 	
NC_000913.3 	CDS 	1 	+ 	633585 	634746 	
NC_000913.3 	CDS 	1 	+ 	642087 	643326 	
NC_000913.3 	CDS 	1 	+ 	650295 	650619 	
NC_000913.3 	CDS 	1 	+ 	656556 	657117 	
NC_000913.3 	CDS 	1 	+ 	658254 	658818 	
NC_000913.3 	CDS 	1 	+ 	659451 	660300 	
NC_000913.3 	CDS 	1 	+ 	664860 	665298 	
NC_000913.3 	CDS 	1 	+ 	666624 	667503 	
NC_000913.3 	CDS 	1 	+ 	676710 	677418 	
NC_000913.3 	CDS 	1 	+ 	680211 	681663 	
NC_000913.3 	CDS 	1 	+ 	688344 	688701 	
NC_000913.3 	CDS 	1 	+ 	691497 	691809 	
NC_000913.3 	CDS 	1 	+ 	692973 	693540 	
NC_000913.3 	CDS 	1 	+ 	695100 	696276 	
NC_000913.3 	CDS 	1 	+ 	699942 	700377 	
NC_000913.3 	CDS 	1 	+ 	702915 	703458 	
NC_000913.3 	CDS 	1 	+ 	706092 	707757 	
NC_000913.3 	CDS 	1 	+ 	708333 	709740 	
NC_000913.3 	CDS 	1 	+ 	710217 	710532 	
NC_000913.3 	CDS 	1 	+ 	711087 	711471 	
NC_000913.3 	CDS 	1 	+ 	712986 	713532 	
NC_000913.3 	CDS 	1 	+ 	724446 	724752 	
NC_000913.3 	CDS 	1 	+ 	727266 	727593 	
NC_000913.3 	CDS 	1 	+ 	729582 	733776 	
NC_000913.3 	CDS 	1 	+ 	737103 	737961 	
NC_000913.3 	CDS 	1 	+ 	739506 	740925 	
NC_000913.3 	CDS 	1 	+ 	743709 	744249 	
NC_000913.3 	CDS 	1 	+ 	745164 	745899 	
NC_000913.3 	CDS 	1 	+ 	755559 	755907 	
NC_000913.3 	CDS 	1 	+ 	775161 	775845 	
NC_000913.3 	CDS 	1 	+ 	775848 	776277 	
NC_000913.3 	CDS 	1 	+ 	783165 	783885 	
NC_000913.3 	CDS 	1 	+ 	792531 	792882 	
NC_000913.3 	CDS 	1 	+ 	795861 	796551 	
NC_000913.3 	CDS 	1 	+ 	798585 	799581 	
NC_000913.3 	CDS 	1 	+ 	803502 	805764 	
NC_000913.3 	CDS 	1 	+ 	809343 	810384 	
NC_000913.3 	CDS 	1 	+ 	811482 	812277 	
NC_000913.3 	CDS 	1 	+ 	813525 	815547 	
NC_000913.3 	CDS 	1 	+ 	819294 	819747 	
NC_000913.3 	CDS 	1 	+ 	830871 	832236 	
NC_000913.3 	CDS 	1 	+ 	842331 	843258 	
NC_000913.3 	CDS 	1 	+ 	847167 	847668 	
NC_000913.3 	CDS 	1 	+ 	850449 	850965 	
NC_000913.3 	CDS 	1 	+ 	853182 	853650 	
NC_000913.3 	CDS 	1 	+ 	854985 	855357 	
NC_000913.3 	CDS 	1 	+ 	867411 	869391 	
NC_000913.3 	CDS 	1 	+ 	870966 	871887 	
NC_000913.3 	CDS 	1 	+ 	875334 	876663 	
NC_000913.3 	CDS 	1 	+ 	878247 	878631 	
NC_000913.3 	CDS 	1 	+ 	887100 	887421 	
NC_000913.3 	CDS 	1 	+ 	891183 	891906 	
NC_000913.3 	CDS 	1 	+ 	892080 	892869 	
NC_000913.3 	CDS 	1 	+ 	892956 	893433 	
NC_000913.3 	CDS 	1 	+ 	894909 	896124 	
NC_000913.3 	CDS 	1 	+ 	896133 	897087 	
NC_000913.3 	CDS 	1 	+ 	906198 	906522 	
NC_000913.3 	CDS 	1 	+ 	912105 	912432 	
NC_000913.3 	CDS 	1 	+ 	920346 	922293 	
NC_000913.3 	CDS 	1 	+ 	930207 	930546 	
NC_000913.3 	CDS 	1 	+ 	937368 	937983 	
NC_000913.3 	CDS 	1 	+ 	943413 	944031 	
NC_000913.3 	CDS 	1 	+ 	944985 	945318 	
NC_000913.3 	CDS 	1 	+ 	945870 	947019 	
NC_000913.3 	CDS 	1 	+ 	961200 	961884 	
NC_000913.3 	CDS 	1 	+ 	966354 	966702 	
NC_000913.3 	CDS 	1 	+ 	970851 	971598 	
NC_000913.3 	CDS 	1 	+ 	971751 	972645 	
NC_000913.3 	CDS 	1 	+ 	973536 	974322 	
NC_000913.3 	CDS 	1 	+ 	975594 	976326 	
NC_000913.3 	CDS 	1 	+ 	980484 	980844 	
NC_000913.3 	CDS 	1 	+ 	983649 	984297 	
NC_000913.3 	CDS 	1 	+ 	984321 	984744 	
NC_000913.3 	CDS 	1 	+ 	990621 	993234 	
NC_000913.3 	CDS 	1 	+ 	994770 	995103 	
NC_000913.3 	CDS 	1 	+ 	1002888 	1003431 	
NC_000913.3 	CDS 	1 	+ 	1005951 	1006494 	
NC_000913.3 	CDS 	1 	+ 	1021137 	1021767 	
NC_000913.3 	CDS 	1 	+ 	1024377 	1026525 	
NC_000913.3 	CDS 	1 	+ 	1032138 	1033257 	
NC_000913.3 	CDS 	1 	+ 	1036353 	1036752 	
NC_000913.3 	CDS 	1 	+ 	1037739 	1039284 	
NC_000913.3 	CDS 	1 	+ 	1040586 	1041915 	
NC_000913.3 	CDS 	1 	+ 	1044708 	1045065 	
NC_000913.3 	CDS 	1 	+ 	1047219 	1047579 	
NC_000913.3 	CDS 	1 	+ 	1059255 	1061802 	
NC_000913.3 	CDS 	1 	+ 	1062672 	1063188 	
NC_000913.3 	CDS 	1 	+ 	1069944 	1070340 	
NC_000913.3 	CDS 	1 	+ 	1070346 	1070661 	
NC_000913.3 	CDS 	1 	+ 	1075182 	1075662 	
NC_000913.3 	CDS 	1 	+ 	1079304 	1080813 	
NC_000913.3 	CDS 	1 	+ 	1083375 	1084647 	
NC_000913.3 	CDS 	1 	+ 	1095522 	1095846 	
NC_000913.3 	CDS 	1 	+ 	1097382 	1097688 	
NC_000913.3 	CDS 	1 	+ 	1100265 	1100787 	
NC_000913.3 	CDS 	1 	+ 	1100874 	1101294 	
NC_000913.3 	CDS 	1 	+ 	1104960 	1105293 	
NC_000913.3 	CDS 	1 	+ 	1105413 	1105725 	
NC_000913.3 	CDS 	1 	+ 	1109316 	1110870 	
NC_000913.3 	CDS 	1 	+ 	1124724 	1125153 	
NC_000913.3 	CDS 	1 	+ 	1125561 	1126146 	
NC_000913.3 	CDS 	1 	+ 	1127838 	1129374 	
NC_000913.3 	CDS 	1 	+ 	1135554 	1136262 	
NC_000913.3 	CDS 	1 	+ 	1138377 	1140021 	
NC_000913.3 	CDS 	1 	+ 	1147650 	1148691 	
NC_000913.3 	CDS 	1 	+ 	1153299 	1154109 	
NC_000913.3 	CDS 	1 	+ 	1155123 	1155765 	
NC_000913.3 	CDS 	1 	+ 	1156776 	1157574 	
NC_000913.3 	CDS 	1 	+ 	1157868 	1159302 	
NC_000913.3 	CDS 	1 	+ 	1163517 	1164084 	
NC_000913.3 	CDS 	1 	+ 	1176480 	1177320 	
NC_000913.3 	CDS 	1 	+ 	1178592 	1179504 	
NC_000913.3 	CDS 	1 	+ 	1179519 	1180359 	
NC_000913.3 	CDS 	1 	+ 	1184382 	1184700 	
NC_000913.3 	CDS 	1 	+ 	1185156 	1185552 	
NC_000913.3 	CDS 	1 	+ 	1185843 	1187070 	
NC_000913.3 	CDS 	1 	+ 	1195122 	1196373 	
NC_000913.3 	CDS 	1 	+ 	1203255 	1203825 	
NC_000913.3 	CDS 	1 	+ 	1205856 	1206204 	
NC_000913.3 	CDS 	1 	+ 	1206912 	1207497 	
NC_000913.3 	CDS 	1 	+ 	1207500 	1208130 	
NC_000913.3 	CDS 	1 	+ 	1209648 	1210239 	
NC_000913.3 	CDS 	1 	+ 	1231185 	1232454 	
NC_000913.3 	CDS 	1 	+ 	1243287 	1243791 	
NC_000913.3 	CDS 	1 	+ 	1259187 	1259601 	
NC_000913.3 	CDS 	1 	+ 	1259634 	1260069 	
NC_000913.3 	CDS 	1 	+ 	1266093 	1266927 	
NC_000913.3 	CDS 	1 	+ 	1279863 	1283607 	
NC_000913.3 	CDS 	1 	+ 	1285848 	1286526 	
NC_000913.3 	CDS 	1 	+ 	1286886 	1287237 	
NC_000913.3 	CDS 	1 	+ 	1289244 	1290150 	
NC_000913.3 	CDS 	1 	+ 	1296438 	1297770 	
NC_000913.3 	CDS 	1 	+ 	1301136 	1302813 	
NC_000913.3 	CDS 	1 	+ 	1303833 	1304742 	
NC_000913.3 	CDS 	1 	+ 	1312956 	1313334 	
NC_000913.3 	CDS 	1 	+ 	1323321 	1324101 	
NC_000913.3 	CDS 	1 	+ 	1333854 	1334829 	
NC_000913.3 	CDS 	1 	+ 	1339329 	1340094 	
NC_000913.3 	CDS 	1 	+ 	1353621 	1353924 	
NC_000913.3 	CDS 	1 	+ 	1356552 	1356945 	
NC_000913.3 	CDS 	1 	+ 	1359732 	1360158 	
NC_000913.3 	CDS 	1 	+ 	1361910 	1362468 	
NC_000913.3 	CDS 	1 	+ 	1365549 	1366815 	
NC_000913.3 	CDS 	1 	+ 	1367328 	1367640 	
NC_000913.3 	CDS 	1 	+ 	1368078 	1368747 	
NC_000913.3 	CDS 	1 	+ 	1380147 	1380807 	
NC_000913.3 	CDS 	1 	+ 	1384116 	1385514 	
NC_000913.3 	CDS 	1 	+ 	1401066 	1401393 	
NC_000913.3 	CDS 	1 	+ 	1415658 	1416003 	
NC_000913.3 	CDS 	1 	+ 	1416144 	1416561 	
NC_000913.3 	CDS 	1 	+ 	1418547 	1419159 	
NC_000913.3 	CDS 	1 	+ 	1420683 	1421106 	
NC_000913.3 	CDS 	1 	+ 	1421118 	1421976 	
NC_000913.3 	CDS 	1 	+ 	1421982 	1422729 	
NC_000913.3 	CDS 	1 	+ 	1423338 	1423644 	
NC_000913.3 	CDS 	1 	+ 	1428093 	1428450 	
NC_000913.3 	CDS 	1 	+ 	1428522 	1428984 	
NC_000913.3 	CDS 	1 	+ 	1432410 	1432986 	
NC_000913.3 	CDS 	1 	+ 	1447518 	1449018 	
NC_000913.3 	CDS 	1 	+ 	1449372 	1449897 	
NC_000913.3 	CDS 	1 	+ 	1450482 	1450875 	
NC_000913.3 	CDS 	1 	+ 	1453992 	1454856 	
NC_000913.3 	CDS 	1 	+ 	1455903 	1456422 	
NC_000913.3 	CDS 	1 	+ 	1457496 	1458264 	
NC_000913.3 	CDS 	1 	+ 	1459053 	1460481 	
NC_000913.3 	CDS 	1 	+ 	1460892 	1462098 	
NC_000913.3 	CDS 	1 	+ 	1463538 	1464489 	
NC_000913.3 	CDS 	1 	+ 	1477620 	1478226 	
NC_000913.3 	CDS 	1 	+ 	1480812 	1482201 	
NC_000913.3 	CDS 	1 	+ 	1488231 	1489671 	
NC_000913.3 	CDS 	1 	+ 	1490865 	1491432 	
NC_000913.3 	CDS 	1 	+ 	1495287 	1496631 	
NC_000913.3 	CDS 	1 	+ 	1506171 	1506708 	
NC_000913.3 	CDS 	1 	+ 	1507080 	1508742 	
NC_000913.3 	CDS 	1 	+ 	1509486 	1509924 	
NC_000913.3 	CDS 	1 	+ 	1510002 	1511409 	
NC_000913.3 	CDS 	1 	+ 	1512816 	1513830 	
NC_000913.3 	CDS 	1 	+ 	1513830 	1514772 	
NC_000913.3 	CDS 	1 	+ 	1519002 	1520064 	
NC_000913.3 	CDS 	1 	+ 	1525362 	1525725 	
NC_000913.3 	CDS 	1 	+ 	1530849 	1531332 	
NC_000913.3 	CDS 	1 	+ 	1531815 	1532952 	
NC_000913.3 	CDS 	1 	+ 	1534023 	1534869 	
NC_000913.3 	CDS 	1 	+ 	1538496 	1538841 	
NC_000913.3 	CDS 	1 	+ 	1547400 	1547988 	
NC_000913.3 	CDS 	1 	+ 	1548036 	1550448 	
NC_000913.3 	CDS 	1 	+ 	1550460 	1551345 	
NC_000913.3 	CDS 	1 	+ 	1570650 	1571229 	
NC_000913.3 	CDS 	1 	+ 	1579797 	1580124 	
NC_000913.3 	CDS 	1 	+ 	1581132 	1581753 	
NC_000913.3 	CDS 	1 	+ 	1590768 	1591110 	
NC_000913.3 	CDS 	1 	+ 	1592925 	1593426 	
NC_000913.3 	CDS 	1 	+ 	1604046 	1605039 	
NC_000913.3 	CDS 	1 	+ 	1608825 	1609146 	
NC_000913.3 	CDS 	1 	+ 	1617027 	1618218 	
NC_000913.3 	CDS 	1 	+ 	1625574 	1625979 	
NC_000913.3 	CDS 	1 	+ 	1635891 	1636248 	
NC_000913.3 	CDS 	1 	+ 	1637031 	1637457 	
NC_000913.3 	CDS 	1 	+ 	1645896 	1646202 	
NC_000913.3 	CDS 	1 	+ 	1647933 	1648341 	
NC_000913.3 	CDS 	1 	+ 	1656183 	1656744 	
NC_000913.3 	CDS 	1 	+ 	1663002 	1663359 	
NC_000913.3 	CDS 	1 	+ 	1663368 	1664463 	
NC_000913.3 	CDS 	1 	+ 	1664496 	1665120 	
NC_000913.3 	CDS 	1 	+ 	1669800 	1670952 	
NC_000913.3 	CDS 	1 	+ 	1671348 	1671684 	
NC_000913.3 	CDS 	1 	+ 	1676163 	1676523 	
NC_000913.3 	CDS 	1 	+ 	1679556 	1680939 	
NC_000913.3 	CDS 	1 	+ 	1680975 	1681698 	
NC_000913.3 	CDS 	1 	+ 	1694580 	1694907 	
NC_000913.3 	CDS 	1 	+ 	1695495 	1695957 	
NC_000913.3 	CDS 	1 	+ 	1703037 	1703403 	
NC_000913.3 	CDS 	1 	+ 	1708014 	1708419 	
NC_000913.3 	CDS 	1 	+ 	1708647 	1709130 	
NC_000913.3 	CDS 	1 	+ 	1715271 	1715652 	
NC_000913.3 	CDS 	1 	+ 	1717278 	1717800 	
NC_000913.3 	CDS 	1 	+ 	1722120 	1724133 	
NC_000913.3 	CDS 	1 	+ 	1729086 	1733703 	
NC_000913.3 	CDS 	1 	+ 	1735377 	1735959 	
NC_000913.3 	CDS 	1 	+ 	1737843 	1738869 	
NC_000913.3 	CDS 	1 	+ 	1739910 	1741122 	
NC_000913.3 	CDS 	1 	+ 	1743537 	1744830 	
NC_000913.3 	CDS 	1 	+ 	1746699 	1747005 	
NC_000913.3 	CDS 	1 	+ 	1759590 	1760343 	
NC_000913.3 	CDS 	1 	+ 	1767636 	1767951 	
NC_000913.3 	CDS 	1 	+ 	1769073 	1770186 	
NC_000913.3 	CDS 	1 	+ 	1772511 	1773777 	
NC_000913.3 	CDS 	1 	+ 	1775586 	1777182 	
NC_000913.3 	CDS 	1 	+ 	1781394 	1782684 	
NC_000913.3 	CDS 	1 	+ 	1786626 	1787094 	
NC_000913.3 	CDS 	1 	+ 	1803093 	1803567 	
NC_000913.3 	CDS 	1 	+ 	1806366 	1807299 	
NC_000913.3 	CDS 	1 	+ 	1813866 	1816128 	
NC_000913.3 	CDS 	1 	+ 	1823652 	1824402 	
NC_000913.3 	CDS 	1 	+ 	1832415 	1833234 	
NC_000913.3 	CDS 	1 	+ 	1835514 	1836063 	
NC_000913.3 	CDS 	1 	+ 	1836069 	1837239 	
NC_000913.3 	CDS 	1 	+ 	1841529 	1841856 	
NC_000913.3 	CDS 	1 	+ 	1847742 	1848057 	
NC_000913.3 	CDS 	1 	+ 	1850859 	1851876 	
NC_000913.3 	CDS 	1 	+ 	1860042 	1860390 	
NC_000913.3 	CDS 	1 	+ 	1860432 	1861353 	
NC_000913.3 	CDS 	1 	+ 	1863828 	1864734 	
NC_000913.3 	CDS 	1 	+ 	1875672 	1876854 	
NC_000913.3 	CDS 	1 	+ 	1876908 	1877256 	
NC_000913.3 	CDS 	1 	+ 	1883202 	1884633 	
NC_000913.3 	CDS 	1 	+ 	1893363 	1893711 	
NC_000913.3 	CDS 	1 	+ 	1900290 	1900728 	
NC_000913.3 	CDS 	1 	+ 	1905633 	1906254 	
NC_000913.3 	CDS 	1 	+ 	1909422 	1909737 	
NC_000913.3 	CDS 	1 	+ 	1920216 	1921662 	
NC_000913.3 	CDS 	1 	+ 	1925439 	1926096 	
NC_000913.3 	CDS 	1 	+ 	1933503 	1933977 	
NC_000913.3 	CDS 	1 	+ 	1935123 	1936083 	
NC_000913.3 	CDS 	1 	+ 	1939638 	1939995 	
NC_000913.3 	CDS 	1 	+ 	1949175 	1950354 	
NC_000913.3 	CDS 	1 	+ 	1950831 	1951398 	
NC_000913.3 	CDS 	1 	+ 	1952265 	1952661 	
NC_000913.3 	CDS 	1 	+ 	1953441 	1954413 	
NC_000913.3 	CDS 	1 	+ 	1956807 	1957161 	
NC_000913.3 	CDS 	1 	+ 	1964763 	1965528 	
NC_000913.3 	CDS 	1 	+ 	1966326 	1966770 	
NC_000913.3 	CDS 	1 	+ 	1969632 	1969953 	
NC_000913.3 	CDS 	1 	+ 	1971288 	1971867 	
NC_000913.3 	CDS 	1 	+ 	1975290 	1975656 	
NC_000913.3 	CDS 	1 	+ 	1985838 	1986186 	
NC_000913.3 	CDS 	1 	+ 	1986924 	1987428 	
NC_000913.3 	CDS 	1 	+ 	1987443 	1987782 	
NC_000913.3 	CDS 	1 	+ 	1988715 	1989213 	
NC_000913.3 	CDS 	1 	+ 	1995078 	1995546 	
NC_000913.3 	CDS 	1 	+ 	2003871 	2005278 	
NC_000913.3 	CDS 	1 	+ 	2005302 	2005713 	
NC_000913.3 	CDS 	1 	+ 	2009820 	2010489 	
NC_000913.3 	CDS 	1 	+ 	2013228 	2014887 	
NC_000913.3 	CDS 	1 	+ 	2018385 	2019513 	
NC_000913.3 	CDS 	1 	+ 	2020041 	2021091 	
NC_000913.3 	CDS 	1 	+ 	2021868 	2022606 	
NC_000913.3 	CDS 	1 	+ 	2022915 	2023254 	
NC_000913.3 	CDS 	1 	+ 	2025510 	2026326 	
NC_000913.3 	CDS 	1 	+ 	2031300 	2031807 	
NC_000913.3 	CDS 	1 	+ 	2041692 	2042025 	
NC_000913.3 	CDS 	1 	+ 	2042367 	2042898 	
NC_000913.3 	CDS 	1 	+ 	2054904 	2056515 	
NC_000913.3 	CDS 	1 	+ 	2057133 	2057574 	
NC_000913.3 	CDS 	1 	+ 	2078574 	2078931 	
NC_000913.3 	CDS 	1 	+ 	2084283 	2084667 	
NC_000913.3 	CDS 	1 	+ 	2091096 	2092401 	
NC_000913.3 	CDS 	1 	+ 	2094534 	2095125 	
NC_000913.3 	CDS 	1 	+ 	2096613 	2097225 	
NC_000913.3 	CDS 	1 	+ 	2125110 	2125707 	
NC_000913.3 	CDS 	1 	+ 	2127435 	2128023 	
NC_000913.3 	CDS 	1 	+ 	2133678 	2134044 	
NC_000913.3 	CDS 	1 	+ 	2142708 	2143017 	
NC_000913.3 	CDS 	1 	+ 	2147721 	2149026 	
NC_000913.3 	CDS 	1 	+ 	2153895 	2155263 	
NC_000913.3 	CDS 	1 	+ 	2164275 	2164998 	
NC_000913.3 	CDS 	1 	+ 	2165667 	2167029 	
NC_000913.3 	CDS 	1 	+ 	2180094 	2181099 	
NC_000913.3 	CDS 	1 	+ 	2194290 	2196333 	
NC_000913.3 	CDS 	1 	+ 	2199576 	2200269 	
NC_000913.3 	CDS 	1 	+ 	2200278 	2203911 	
NC_000913.3 	CDS 	1 	+ 	2203971 	2204289 	
NC_000913.3 	CDS 	1 	+ 	2204529 	2205684 	
NC_000913.3 	CDS 	1 	+ 	2214171 	2214507 	
NC_000913.3 	CDS 	1 	+ 	2217651 	2217984 	
NC_000913.3 	CDS 	1 	+ 	2218134 	2218461 	
NC_000913.3 	CDS 	1 	+ 	2220153 	2220777 	
NC_000913.3 	CDS 	1 	+ 	2220894 	2221446 	
NC_000913.3 	CDS 	1 	+ 	2222184 	2223900 	
